,location,network_provider,How would you rate your overall mobile network experience?,Which of the following issues do you frequently experience? (Select all that apply),What time of day do you usually experience the worst network performance?,How often do you face these issues?,Have you ever reported a network issue to your service provider?,"If yes, how satisfied were you with the response you received?",Would you be willing to rate your network experience regularly using a mobile app?,Would you be comfortable with an app running in the background to measure network performance?,What concerns would you have using such an app? (Select all that apply),Would you be more willing to use the app if your data was anonymized and secured?,How frequently would you be willing to provide feedback via short in-app questions?,What features would encourage you to use such an app? (Select all that apply),Which platform do you use for your phone?,How often do you install and try out new mobile apps?,What would stop you from using this app? (Short Answer),Would you like to be contacted for future updates or to test the app?
0,Buea,MTN,2,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Yes,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards;Anonymous contribution to service improvements,Android,Frequently,If my privacy is expised,"Yes (If yes, leave your email or phone number)"
0,Buea,Orange,2,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Yes,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards;Anonymous contribution to service improvements,Android,Frequently,If my privacy is expised,"Yes (If yes, leave your email or phone number)"
0,Buea,Camtel,2,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,No,Dissatisfied,Yes,Yes,Data usage;Privacy concerns,Yes,Only when I experience a problem,Airtime/data rewards;Anonymous contribution to service improvements,Android,Frequently,If my privacy is expised,"Yes (If yes, leave your email or phone number)"
1,Buea,MTN,3,Slow internet speeds,Afternoon (12PM–6PM),Daily,No,Neutral,Maybe,Not sure,Battery drain;Data usage;Privacy concerns;Slowing down my phone,No,Once a week,Airtime/data rewards,iOS,Occasionally,Battery drain,"Yes (If yes, leave your email or phone number)"
2,Buea,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network;High call latency,No specific time,Daily,No,Very dissatisfied,Yes,Yes,Battery drain;Data usage;Privacy concerns,Yes,Once a week,Airtime/data rewards;Anonymous contribution to service improvements,Android,Rarely,No improvement with network services over time ,No
3,Douala,MTN,4,Slow internet speeds,Afternoon (12PM–6PM),A few times a week,No,Somewhat satisfied,Yes,No,Data usage,Yes,Once a week,Airtime/data rewards,Android,Frequently,Data draining ,"Yes (If yes, leave your email or phone number)"
4,Buea,MTN,2,Poor signal strength;Slow internet speeds;Dropped calls;Unavailable network,No specific time,Daily,No,Neutral,No,Yes,Battery drain;Data usage,Yes,Only when I experience a problem,Anonymous contribution to service improvements,Android,Occasionally,Data usage and battery consumption,"Yes (If yes, leave your email or phone number)"
5,Yaounde,MTN,3,Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Rarely,No,Dissatisfied,Maybe,Yes,Data usage,Yes,Only when I experience a problem,Personalized reports on my network experience,Android,Frequently,Data consumption ,"Yes (If yes, leave your email or phone number)"
6,Douala,MTN,2,Poor signal strength,Evening (6PM–12AM),Daily,No,Very satisfied,Yes,Yes,Battery drain;Data usage;Privacy concerns,Maybe,Once a week,Airtime/data rewards,Android,Never,Many things ,"Yes (If yes, leave your email or phone number)"
7,Douala,MTN,3,Poor signal strength;Slow internet speeds;Unavailable network,Afternoon (12PM–6PM),Daily,Yes,Neutral,Yes,Yes,Battery drain;Data usage;Privacy concerns,Yes,Once a day,Airtime/data rewards,Android,Frequently,To many ads ,"Yes (If yes, leave your email or phone number)"
